address_line,postal_code,city,country_code
"Rue de la Loi 175",1040,Brussels,BE
"Unter den Linden 77",10117,Berlin,DE
"Avenida de América 9",28002,Madrid,ES
"Via della Conciliazione 4",00193,Rome,IT
"Avenue des Champs-Élysées 50",75008,Paris,FR
"Koningin Astridplein 27",2018,Antwerp,BE
"Karl Johans gate 15",0159,Oslo,NO
"Váci utca 20",1052,Budapest,HU
"Damrak 1-5",1012LG,Amsterdam,NL
"Stureplan 2",114 35,Stockholm,SE
"O'Connell Street Upper 55",D01F5P2,Dublin,IE
"Plac Zamkowy 1",00-277,Warsaw,PL
"Gran Vía 32",28013,Madrid,ES
"Bahnhofstrasse 10",8001,Zurich,CH
"Prinzregentenstraße 60",81675,Munich,DE
"Rue du Rhône 42",1204,Geneva,CH
"Piazza del Duomo 21",20122,Milan,IT
"Avenida da Liberdade 180",1250-146,Lisbon,PT
"Kongens Nytorv 8",1050,Copenhagen,DK
"La Rambla 91",08002,Barcelona,ES
"Avenue Louise 326",1050,Brussels,BE
"Kurfürstendamm 26",10719,Berlin,DE
"Passeig de Gràcia 12",08007,Barcelona,ES
"Boulevard Saint-Germain 131",75006,Paris,FR
"Piazza Navona 2",00186,Rome,IT
"Gran Vía de les Corts Catalanes 670",08010,Barcelona,ES
"Oxford Street 300",W1C 1DX,London,GB
"Ringstraße 1",1010,Vienna,AT
"Avenida dos Aliados 85",4000-067,Porto,PT
"Rue Neuve 123",1000,Brussels,BE
"Via Veneto 155",00187,Rome,IT
"Kärtner Straße 20",1010,Vienna,AT
"Prinsengracht 263",1016GV,Amsterdam,NL
"Váci út 1",1134,Budapest,HU
"Strøget 45",1160,Copenhagen,DK
"Gran Vía 1",28013,Madrid,ES
"Rue de la Paix 5",75002,Paris,FR
"Piazza San Marco 1",30124,Venice,IT
"Avenida Diagonal 640",08017,Barcelona,ES
"Oudezijds Voorburgwal 197",1012EX,Amsterdam,NL
